Player,Position,Age,Nationality1,Nationality2,Club,MarketValue(m)
Reece James,Right-Back,23,England,,Chelsea FC,€65.00m
Achraf Hakimi,Right-Back,24,Morocco,Spain,Paris Saint-Germain,€65.00m
Trent Alexander-Arnold,Right-Back,24,England,,Liverpool FC,€65.00m
Kingsley Coman,Left Winger,27,France,Guadeloupe,Bayern Munich,€65.00m
Leroy Sané,Right Winger,27,Germany,France,Bayern Munich,€65.00m
Marquinhos,Centre-Back,29,Brazil,Portugal,Paris Saint-Germain,€65.00m
Mohamed Salah,Right Winger,31,Egypt,,Liverpool FC,€65.00m
Antony,Right Winger,23,Brazil,,Manchester United,€60.00m
Julián Álvarez,Centre-Forward,23,Argentina,,Manchester City,€60.00m
Jonathan David,Centre-Forward,23,Canada,United States,LOSC Lille,€60.00m
Min-jae Kim,Centre-Back,26,South Korea,,SSC Napoli,€60.00m
Jules Koundé,Centre-Back,24,France,Benin,FC Barcelona,€60.00m
Raphinha,Right Winger,26,Brazil,Italy,FC Barcelona,€60.00m
Cristian Romero,Centre-Back,25,Argentina,,Tottenham Hotspur,€60.00m
Mason Mount,Attacking Midfield,24,England,,Chelsea FC,€60.00m
Dayot Upamecano,Centre-Back,24,France,Guinea-Bissau,Bayern Munich,€60.00m
Theo Hernández,Left-Back,25,France,Spain,AC Milan,€60.00m
Alessandro Bastoni,Centre-Back,24,Italy,,Inter Milan,€60.00m
James Maddison,Attacking Midfield,26,England,,Tottenham Hotspur,€60.00m
Ousmane Dembélé,Right Winger,26,France,,FC Barcelona,€60.00m
Neymar,Left Winger,31,Brazil,,Paris Saint-Germain,€60.00m
Wesley Fofana,Centre-Back,22,France,Cote d'Ivoire,Chelsea FC,€55.00m
Gabriel Magalhães,Centre-Back,25,Brazil,,Arsenal FC,€55.00m
Cody Gakpo,Left Winger,24,Netherlands,Togo,Liverpool FC,€55.00m
Ben White,Right-Back,25,England,,Arsenal FC,€55.00m
Kai Havertz,Centre-Forward,24,Germany,,Arsenal FC,€55.00m
Serge Gnabry,Right Winger,27,Germany,Cote d'Ivoire,Bayern Munich,€55.00m
Raheem Sterling,Left Winger,28,England,Jamaica,Chelsea FC,€55.00m
Alejandro Balde,Left-Back,19,Spain,,FC Barcelona,€50.00m
Gonçalo Ramos,Centre-Forward,22,Portugal,,SL Benfica,€50.00m
Mykhaylo Mudryk,Left Winger,22,Ukraine,,Chelsea FC,€50.00m
Lisandro Martínez,Centre-Back,25,Argentina,,Manchester United,€50.00m
Manuel Ugarte,Defensive Midfield,22,Uruguay,,Sporting CP,€50.00m
João Félix,Second Striker,23,Portugal,,Atlético de Madrid,€50.00m
Dominik Szoboszlai,Attacking Midfield,22,Hungary,,Liverpool FC,€50.00m
Dejan Kulusevski,Right Winger,23,Sweden,North Macedonia,Tottenham Hotspur,€50.00m
Sandro Tonali,Defensive Midfield,23,Italy,,Newcastle United,€50.00m
Moussa Diaby,Right Winger,23,France,Mali,Bayer 04 Leverkusen,€50.00m
Diogo Jota,Left Winger,26,Portugal,,Liverpool FC,€50.00m
Mikel Merino,Central Midfield,27,Spain,,Real Sociedad,€50.00m
Sergej Milinković-Savić,Central Midfield,28,Serbia,Spain,SS Lazio,€50.00m
Milan Skriniar,Centre-Back,28,Slovakia,,Without Club,€50.00m
João Cancelo,Right-Back,29,Portugal,,Manchester City,€50.00m
Heung-min Son,Left Winger,30,South Korea,,Tottenham Hotspur,€50.00m
Richarlison,Centre-Forward,26,Brazil,,Tottenham Hotspur,€48.00m
António Silva,Centre-Back,19,Portugal,,SL Benfica,€45.00m
Rasmus Højlund,Centre-Forward,20,Denmark,,Atalanta BC,€45.00m
Matheus Nunes,Central Midfield,24,Portugal,Brazil,Wolverhampton Wanderers,€45.00m
Amadou Onana,Defensive Midfield,21,Belgium,Senegal,Everton FC,€45.00m
Lucas Paquetá,Attacking Midfield,25,Brazil,Portugal,West Ham United,€45.00m
Jadon Sancho,Left Winger,23,England,Jamaica,Manchester United,€45.00m
Pau Torres,Centre-Back,26,Spain,,Villarreal CF,€45.00m
Sven Botman,Centre-Back,23,Netherlands,,Newcastle United,€45.00m
Diogo Costa,Goalkeeper,23,Portugal,Switzerland,FC Porto,€45.00m
Gianluigi Donnarumma,Goalkeeper,24,Italy,,Paris Saint-Germain,€45.00m
Lucas Hernández,Centre-Back,27,France,Spain,Bayern Munich,€45.00m
Mike Maignan,Goalkeeper,28,France,French Guiana,AC Milan,€45.00m
Pierre-Emile Höjbjerg,Central Midfield,27,Denmark,France,Tottenham Hotspur,€45.00m
Leon Goretzka,Central Midfield,28,Germany,,Bayern Munich,€45.00m
Thibaut Courtois,Goalkeeper,31,Belgium,,Real Madrid,€45.00m
Jacob Ramsey,Central Midfield,22,England,,Aston Villa,€42.00m
Vitinha,Central Midfield,23,Portugal,,Paris Saint-Germain,€42.00m
Jurrien Timber,Centre-Back,22,Netherlands,Curacao,Ajax Amsterdam,€42.00m
Joelinton,Attacking Midfield,26,Brazil,,Newcastle United,€42.00m
Fabinho,Defensive Midfield,29,Brazil,,Liverpool FC,€42.00m
Oleksandr Zinchenko,Left-Back,26,Ukraine,,Arsenal FC,€42.00m
Luke Shaw,Left-Back,27,England,,Manchester United,€42.00m
Nathan Aké,Centre-Back,28,Netherlands,Cote d'Ivoire,Manchester City,€42.00m
Manu Koné,Central Midfield,22,France,Cote d'Ivoire,Borussia Mönchengladbach,€40.00m
Giorgio Scalvini,Centre-Back,19,Italy,,Atalanta BC,€40.00m
Yéremy Pino,Right Winger,20,Spain,,Villarreal CF,€40.00m
Xavi Simons,Attacking Midfield,20,Netherlands,Suriname,PSV Eindhoven,€40.00m
Pedro Porro,Right-Back,23,Spain,,Tottenham Hotspur,€40.00m
Mohammed Kudus,Attacking Midfield,22,Ghana,,Ajax Amsterdam,€40.00m
Bremer,Centre-Back,26,Brazil,,Juventus FC,€40.00m
Karim Adeyemi,Left Winger,21,Germany,Nigeria,Borussia Dortmund,€40.00m
Jeremie Frimpong,Right-Back,22,Netherlands,Ghana,Bayer 04 Leverkusen,€40.00m
Eberechi Eze,Attacking Midfield,25,England,Nigeria,Crystal Palace,€40.00m
Khéphren Thuram,Central Midfield,22,France,Guadeloupe,OGC Nice,€40.00m
Benoît Badiashile,Centre-Back,22,France,DR Congo,Chelsea FC,€40.00m
Douglas Luiz,Central Midfield,25,Brazil,,Aston Villa,€40.00m
Morgan Gibbs-White,Attacking Midfield,23,England,Jamaica,Nottingham Forest,€40.00m
Aaron Ramsdale,Goalkeeper,25,England,,Arsenal FC,€40.00m
Martín Zubimendi,Defensive Midfield,24,Spain,,Real Sociedad,€40.00m
Nico Schlotterbeck,Centre-Back,23,Germany,,Borussia Dortmund,€40.00m
Diogo Dalot,Right-Back,24,Portugal,,Manchester United,€40.00m
Rodrigo Bentancur,Central Midfield,26,Uruguay,,Tottenham Hotspur,€40.00m
Frank Anguissa,Central Midfield,27,Cameroon,,SSC Napoli,€40.00m
Benjamin Pavard,Right-Back,27,France,,Bayern Munich,€40.00m
Ismaël Bennacer,Defensive Midfield,25,Algeria,France,AC Milan,€40.00m
Mikel Oyarzabal,Left Winger,26,Spain,,Real Sociedad,€40.00m
Federico Chiesa,Left Winger,25,Italy,,Juventus FC,€40.00m
Tammy Abraham,Centre-Forward,25,England,Nigeria,AS Roma,€40.00m
Ollie Watkins,Centre-Forward,27,England,,Aston Villa,€40.00m
Fikayo Tomori,Centre-Back,25,England,Canada,AC Milan,€40.00m
Dani Olmo,Attacking Midfield,25,Spain,,RB Leipzig,€40.00m 
João Palhinha,Defensive Midfield,27,Portugal,,Fulham FC,€40.00m
Rodrigo de Paul,Central Midfield,29,Argentina,Italy,Atlético de Madrid,€40.00m
Ederson,Goalkeeper,29,Brazil,Portugal,Manchester City,€40.00m
Andrew Robertson,Left-Back,29,Scotland,,Liverpool FC,€40.00m
Rúben Neves,Defensive Midfield,26,Portugal,,Al-Hilal SFC,€40.00m
Andreas Christensen,Centre-Back,27,Denmark,,FC Barcelona,€40.00m
Stanislav Lobotka,Defensive Midfield,28,Slovakia,,SSC Napoli,€40.00m
Julian Brandt,Attacking Midfield,27,Germany,,Borussia Dortmund,€40.00m
John Stones,Centre-Back,29,England,,Manchester City,€40.00m
Adrien Rabiot,Central Midfield,28,France,,Juventus FC,€40.00m
Hakan Calhanoglu,Central Midfield,29,Turkey,Germany,Inter Milan,€40.00m
Marco Verratti,Central Midfield,30,Italy,,Paris Saint-Germain,€40.00m
Romelu Lukaku,Centre-Forward,30,Belgium,DR Congo,Chelsea FC,€40.00m
David Alaba,Centre-Back,31,Austria,,Real Madrid,€40.00m
Casemiro,Defensive Midfield,31,Brazil,Spain,Manchester United,€40.00m
Michael Olise,Right Winger,21,France,England,Crystal Palace,€38.00m
Brennan Johnson,Attacking Midfield,22,Wales,England,Nottingham Forest,€38.00m
Ibrahima Konaté,Centre-Back,24,France,Mali,Liverpool FC,€38.00m
Joe Willock,Central Midfield,23,England,Montserrat,Newcastle United,€38.00m
Jarrod Bowen,Right Winger,26,England,,West Ham United,€38.00m
Manuel Akanji,Centre-Back,27,Switzerland,Nigeria,Manchester City,€38.00m
James Ward-Prowse,Central Midfield,28,England,,Southampton FC,€38.00m
Mateo Kovacic,Central Midfield,29,Croatia,,Manchester City,€38.00m
Piero Hincapié,Centre-Back,21,Ecuador,,Bayer 04 Leverkusen,€35.00m
Elye Wahi,Centre-Forward,20,France,Cote d'Ivoire,Montpellier HSC,€35.00m
Harvey Elliott,Attacking Midfield,20,England,,Liverpool FC,€35.00m
Cheick Doucouré,Defensive Midfield,23,Mali,,Crystal Palace,€35.00m
Anthony Gordon,Left Winger,22,England,,Newcastle United,€35.00m
Ansu Fati,Left Winger,20,Spain,Guinea-Bissau,FC Barcelona,€35.00m
Orkun Kökcü,Central Midfield,22,Turkey,Netherlands,SL Benfica,€35.00m
Nicolò Fagioli,Central Midfield,22,Italy,,Juventus FC,€35.00m
Nahuel Molina,Right-Back,25,Argentina,,Atlético de Madrid,€35.00m
Amine Gouiri,Centre-Forward,23,France,Algeria,Stade Rennais FC,€35.00m
Bryan Mbeumo,Right Winger,23,Cameroon,France,Brentford FC,€35.00m
Giacomo Raspadori,Second Striker,23,Italy,,SSC Napoli,€35.00m
Edson Álvarez,Defensive Midfield,25,Mexico,,Ajax Amsterdam,€35.00m
Harvey Barnes,Left Winger,25,England,Scotland,Leicester City,€35.00m
Emile Smith Rowe,Attacking Midfield,22,England,,Arsenal FC,€35.00m
Marc Guéhi,Centre-Back,22,England,Cote d'Ivoire,Crystal Palace,€35.00m
Ibrahim Sangaré,Defensive Midfield,25,Cote d'Ivoire,,PSV Eindhoven,€35.00m
Loïs Openda,Centre-Forward,23,Belgium,Morocco,RC Lens,€35.00m
Nayef Aguerd,Centre-Back,27,Morocco,,West Ham United,€35.00m
Robin Le Normand,Centre-Back,26,Spain,France,Real Sociedad,€35.00m
Ben Chilwell,Left-Back,26,England,New Zealand,Chelsea FC,€35.00m
Lorenzo Pellegrini,Attacking Midfield,27,Italy,,AS Roma,€35.00m
Marc Cucurella,Left-Back,24,Spain,,Chelsea FC,€35.00m
Tomas Soucek,Defensive Midfield,28,Czech Republic,,West Ham United,€35.00m
Marcos Llorente,Central Midfield,28,Spain,,Atlético de Madrid,€35.00m
Gregor Kobel,Goalkeeper,25,Switzerland,,Borussia Dortmund,€35.00m
Ivan Toney,Centre-Forward,27,England,Jamaica,Brentford FC,€35.00m
José María Giménez,Centre-Back,28,Uruguay,Spain,Atlético de Madrid,€35.00m
André Onana,Goalkeeper,27,Cameroon,,Inter Milan,€35.00m
Otávio,Attacking Midfield,28,Portugal,Brazil,FC Porto,€35.00m
Thomas Partey,Defensive Midfield,30,Ghana,,Arsenal FC,€35.00m
Federico Dimarco,Left-Back,25,Italy,,Inter Milan,€35.00m
Piotr Zielinski,Central Midfield,29,Poland,,SSC Napoli,€35.00m
Niklas Süle,Centre-Back,27,Germany,,Borussia Dortmund,€35.00m
Raphaël Varane,Centre-Back,30,France,Martinique,Manchester United,€35.00m
Leandro Trossard,Left Winger,28,Belgium,,Arsenal FC,€35.00m
Virgil van Dijk,Centre-Back,31,Netherlands,Suriname,Liverpool FC,€35.00m
Jan Oblak,Goalkeeper,30,Slovenia,,Atlético de Madrid,€35.00m
Alisson,Goalkeeper,30,Brazil,,Liverpool FC,€35.00m
Marc-André ter Stegen,Goalkeeper,31,Germany,,FC Barcelona,€35.00m
Lionel Messi,Right Winger,36,Argentina,Spain,Paris Saint-Germain,€35.00m
Roméo Lavia,Defensive Midfield,19,Belgium,,Southampton FC,€32.00m
João Pedro,Centre-Forward,21,Brazil,,Brighton & Hove Albion,€32.00m
Kaoru Mitoma,Left Winger,26,Japan,,Brighton & Hove Albion,€32.00m
Conor Gallagher,Central Midfield,23,England,,Chelsea FC,€32.00m
Pedro Gonçalves,Left Winger,25,Portugal,,Sporting CP,€32.00m
Kalvin Phillips,Defensive Midfield,27,England,Jamaica,Manchester City,€32.00m
Fabián Ruiz,Central Midfield,27,Spain,,Paris Saint-Germain,€32.00m
Pervis Estupiñán,Left-Back,25,Ecuador,Spain,Brighton & Hove Albion,€32.00m
Marcus Thuram,Centre-Forward,25,France,Guadeloupe,Inter Milan,€32.00m
Miguel Almirón,Right Winger,29,Paraguay,,Newcastle United,€32.00m
Allan Saint-Maximin,Left Winger,26,France,Guadeloupe,Newcastle United,€32.00m
Seko Fofana,Central Midfield,28,Cote d'Ivoire,France,RC Lens,€32.00m
Antonio Rüdiger,Centre-Back,30,Germany,Sierra Leone,Real Madrid,€32.00m
Nicolas Jackson,Centre-Forward,22,Senegal,The Gambia,Chelsea FC,€30.00m
Nico Williams,Right Winger,20,Spain,Ghana,Athletic Bilbao,€30.00m
Gabri Veiga,Central Midfield,21,Spain,,Celta de Vigo,€30.00m
Evan Ferguson,Centre-Forward,18,Ireland,,Brighton & Hove Albion,€30.00m
Levi Colwill,Centre-Back,20,England,,Chelsea FC,€30.00m
Rayan Cherki,Attacking Midfield,19,France,Algeria,Olympique Lyon,€30.00m
Jean-Clair Todibo,Centre-Back,23,France,French Guiana,OGC Nice,€30.00m
Pierre Kalulu,Centre-Back,23,France,DR Congo,AC Milan,€30.00m
Oihan Sancet,Attacking Midfield,23,Spain,,Athletic Bilbao,€30.00m
Edmond Tapsoba,Centre-Back,24,Burkina Faso,,Bayer 04 Leverkusen,€30.00m
Micky van de Ven,Centre-Back,22,Netherlands,,VfL Wolfsburg,€30.00m
Gonçalo Inácio,Centre-Back,21,Portugal,,Sporting CP,€30.00m
Mohamed Camara,Defensive Midfield,23,Mali,,AS Monaco,€30.00m
Max Kilman,Centre-Back,26,England,Ukraine,Wolverhampton Wanderers,€30.00m
Roger Ibañez,Centre-Back,24,Brazil,Italy,AS Roma,€30.00m
Noni Madueke,Right Winger,21,England,Nigeria,Chelsea FC,€30.00m
Folarin Balogun,Centre-Forward,22,United States,England,Arsenal FC,€30.00m
Nicolás González,Left Winger,25,Argentina,Italy,ACF Fiorentina,€30.00m
Ryan Gravenberch,Central Midfield,21,Netherlands,Suriname,Bayern Munich,€30.00m
Youssoufa Moukoko,Centre-Forward,18,Germany,Cameroon,Borussia Dortmund,€30.00m
Martin Terrier,Left Winger,26,France,,Stade Rennais FC,€30.00m
Ademola Lookman,Second Striker,25,Nigeria,England,Atalanta BC,€30.00m
Ferran Torres,Left Winger,23,Spain,,FC Barcelona,€30.00m
Boubacar Kamara,Defensive Midfield,23,France,Senegal,Aston Villa,€30.00m
Axel Disasi,Centre-Back,25,France,DR Congo,AS Monaco,€30.00m
Teun Koopmeiners,Defensive Midfield,25,Netherlands,,Atalanta BC,€30.00m
Malcom,Right Winger,26,Brazil,Russia,Zenit St. Petersburg,€30.00m
Marcus Edwards,Right Winger,24,England,Cyprus,Sporting CP,€30.00m
Sofyan Amrabat,Defensive Midfield,26,Morocco,Netherlands,ACF Fiorentina,€30.00m
Mattia Zaccagni,Left Winger,28,Italy,,SS Lazio,€30.00m
Ángel Correa,Right Winger,28,Argentina,Spain,Atlético de Madrid,€30.00m
Manuel Locatelli,Defensive Midfield,25,Italy,,Juventus FC,€30.00m
David Raya,Goalkeeper,27,Spain,,Brentford FC,€30.00m
Joachim Andersen,Centre-Back,27,Denmark,,Crystal Palace,€30.00m
José Gayà,Left-Back,28,Spain,,Valencia CF,€30.00m
Paulo Dybala,Second Striker,29,Argentina,Italy,AS Roma,€30.00m
Sébastien Haller,Centre-Forward,29,Cote d'Ivoire,France,Borussia Dortmund,€30.00m
Robert Lewandowski,Centre-Forward,34,Poland,,FC Barcelona,€30.00m
Danilo,Defensive Midfield,22,Brazil,,Nottingham Forest,€28.00m
Armando Broja,Centre-Forward,21,Albania,England,Chelsea FC,€28.00m
Jesper Lindström,Attacking Midfield,23,Denmark,,Eintracht Frankfurt,€28.00m
Pedro Neto,Right Winger,23,Portugal,,Wolverhampton Wanderers,€28.00m
Jérémy Doku,Right Winger,21,Belgium,Ghana,Stade Rennais FC,€28.00m
Leon Bailey,Left Winger,25,Jamaica,,Aston Villa,€28.00m
Evan Ndicka,Centre-Back,23,Cote d'Ivoire,France,AS Roma,€28.00m
Guido Rodríguez,Defensive Midfield,29,Argentina,Italy,Real Betis Balompié,€28.00m
Noussair Mazraoui,Right-Back,25,Morocco,Netherlands,Bayern Munich,€28.00m
Rico Henry,Left-Back,25,England,,Brentford FC,€28.00m
Donyell Malen,Right Winger,24,Netherlands,Suriname,Borussia Dortmund,€28.00m
Denzel Dumfries,Right Midfield,27,Netherlands,Aruba,Inter Milan,€28.00m
Emiliano Buendía,Right Winger,26,Argentina,Spain,Aston Villa,€28.00m
Presnel Kimpembe,Centre-Back,27,France,DR Congo,Paris Saint-Germain,€28.00m
Aleksandr Golovin,Attacking Midfield,27,Russia,,AS Monaco,€28.00m
Alex Iwobi,Attacking Midfield,27,Nigeria,England,Everton FC,€28.00m
Konrad Laimer,Central Midfield,26,Austria,,Bayern Munich,€28.00m
Emiliano Martínez,Goalkeeper,30,Argentina,Spain,Aston Villa,€28.00m
Aleksandar Mitrović,Centre-Forward,28,Serbia,,Fulham FC,€28.00m
Nicolò Zaniolo,Attacking Midfield,24,Italy,,Galatasaray,€27.00m
Daichi Kamada,Attacking Midfield,26,Japan,,Without Club,€27.00m
John McGinn,Central Midfield,28,Scotland,,Aston Villa,€27.00m
Eljif Elmas,Central Midfield,23,North Macedonia,,SSC Napoli,€26.00m
Dango Ouattara,Right Winger,21,Burkina Faso,,AFC Bournemouth,€25.00m
Alejandro Garnacho,Left Winger,19,Argentina,Spain,Manchester United,€25.00m
Mohamed Simakan,Centre-Back,23,France,Guinea,RB Leipzig,€25.00m
Boulaye Dia,Centre-Forward,26,Senegal,France,US Salernitana 1919,€25.00m
Malo Gusto,Right-Back,20,France,Portugal,Chelsea FC,€25.00m
Castello Lukeba,Centre-Back,20,France,Angola,Olympique Lyon,€25.00m
Beto,Centre-Forward,25,Portugal,Guinea-Bissau,Udinese Calcio,€25.00m
Aaron Hickey,Right-Back,21,Scotland,,Brentford FC,€25.00m
Strahinja Pavlovic,Centre-Back,22,Serbia,,Red Bull Salzburg,€25.00m
Youssouf Fofana,Central Midfield,24,France,Mali,AS Monaco,€25.00m
Destiny Udogie,Left-Back,20,Italy,Nigeria,Tottenham Hotspur,€25.00m
Santiago Gimenez,Centre-Forward,22,Mexico,Italy,Feyenoord Rotterdam,€25.00m
Fábio Vieira,Attacking Midfield,23,Portugal,,Arsenal FC,€25.00m
Pepê,Left Winger,26,Brazil,Italy,FC Porto,€25.00m
Matheus Cunha,Centre-Forward,24,Brazil,,Atlético de Madrid,€25.00m
Giovanni Reyna,Attacking Midfield,20,United States,Portugal,Borussia Dortmund,€25.00m
Tino Livramento,Right-Back,20,England,Scotland,Southampton FC,€25.00m
Giorgi Mamardashvili,Goalkeeper,22,Georgia,,Valencia CF,€25.00m
Juan Foyth,Right-Back,25,Argentina,Spain,Villarreal CF,€25.00m
Aaron Wan-Bissaka,Right-Back,25,England,DR Congo,Manchester United,€25.00m
Kiernan Dewsbury-Hall,Central Midfield,24,England,,Leicester City,€25.00m
Kevin Schade,Right Winger,21,Germany,Nigeria,Brentford FC,€25.00m
David Neres,Right Winger,26,Brazil,,SL Benfica,€25.00m
Mattéo Guendouzi,Central Midfield,24,France,Morocco,Olympique Marseille,€25.00m
Jakub Kiwior,Centre-Back,23,Poland,,Arsenal FC,€25.00m
Matty Cash,Right-Back,25,Poland,England,Aston Villa,€25.00m
Lutsharel Geertruida,Right-Back,22,Netherlands,Curacao,Feyenoord Rotterdam,€25.00m
Perr Schuurs,Centre-Back,23,Netherlands,,Torino FC,€25.00m
Ezri Konsa,Centre-Back,25,England,DR Congo,Aston Villa,€25.00m
Takefusa Kubo,Right Winger,22,Japan,,Real Sociedad,€25.00m
Vitaliy Mykolenko,Left-Back,24,Ukraine,,Everton FC,€25.00m
David Hancko,Centre-Back,25,Slovakia,,Feyenoord Rotterdam,€25.00m
Samuel Chukwueze,Right Winger,24,Nigeria,,Villarreal CF,€25.00m
Maxence Caqueret,Central Midfield,23,France,,Olympique Lyon,€25.00m
Davide Frattesi,Central Midfield,23,Italy,,US Sassuolo,€25.00m
Brenden Aaronson,Attacking Midfield,22,United States,,Leeds United,€25.00m
Carlos Soler,Central Midfield,26,Spain,,Paris Saint-Germain,€25.00m
Tetê,Right Winger,23,Brazil,,Shakhtar Donetsk,€25.00m
Arnaut Danjuma,Left Winger,26,Netherlands,Nigeria,Villarreal CF,€25.00m
Sean Longstaff,Central Midfield,25,England,,Newcastle United,€25.00m
Kyle Walker-Peters,Right-Back,26,England,,Southampton FC,€25.00m
Eddie Nketiah,Centre-Forward,24,England,Ghana,Arsenal FC,€25.00m
Takehiro Tomiyasu,Right-Back,24,Japan,,Arsenal FC,€25.00m
Hirving Lozano,Right Winger,27,Mexico,,SSC Napoli,€25.00m
Scott McTominay,Defensive Midfield,26,Scotland,England,Manchester United,€25.00m
Christian Pulisic,Left Winger,24,United States,Croatia,Chelsea FC,€25.00m
Brais Méndez,Attacking Midfield,26,Spain,,Real Sociedad,€25.00m
Dominic Calvert-Lewin,Centre-Forward,26,England,,Everton FC,€25.00m
Kieran Tierney,Left-Back,26,Scotland,Isle of Man,Arsenal FC,€25.00m
Marco Asensio,Right Winger,27,Spain,Netherlands,Paris Saint-Germain,€25.00m
Taiwo Awoniyi,Centre-Forward,25,Nigeria,,Nottingham Forest,€25.00m
Franck Kessié,Central Midfield,26,Cote d'Ivoire,Italy,FC Barcelona,€25.00m
Ferland Mendy,Left-Back,28,France,Senegal,Real Madrid,€25.00m
Saïd Benrahma,Left Winger,27,Algeria,France,West Ham United,€25.00m
Wilfred Ndidi,Defensive Midfield,26,Nigeria,,Leicester City,€25.00m
Unai Simón,Goalkeeper,26,Spain,,Athletic Bilbao,€25.00m
Timothy Castagne,Right-Back,27,Belgium,,Leicester City,€25.00m
Amir Rrahmani,Centre-Back,29,Kosovo,Albania,SSC Napoli,€25.00m
Iñaki Williams,Centre-Forward,29,Ghana,Spain,Athletic Bilbao,€25.00m
Enes Ünal,Centre-Forward,26,Turkey,,Getafe CF,€25.00m
Youri Tielemans,Central Midfield,26,Belgium,DR Congo,Aston Villa,€25.00m
Patrik Schick,Centre-Forward,27,Czech Republic,,Bayer 04 Leverkusen,€25.00m
Reinildo Mandava,Left-Back,29,Mozambique,,Atlético de Madrid,€25.00m
Álex Remiro,Goalkeeper,28,Spain,,Real Sociedad,€25.00m
Adam Webster,Centre-Back,28,England,,Brighton & Hove Albion,€25.00m
Ruben Loftus-Cheek,Central Midfield,27,England,Guyana,AC Milan,€25.00m
Sadio Mané,Left Winger,31,Senegal,,Bayern Munich,€25.00m
Alejandro Grimaldo,Left-Back,27,Spain,,Bayer 04 Leverkusen,€25.00m
Aymeric Laporte,Centre-Back,29,Spain,France,Manchester City,€25.00m
Timo Werner,Centre-Forward,27,Germany,,RB Leipzig,€25.00m
